first_dose_pcttakeup,full_regimen_pcttakeup,eligibile_pop_takeup,vacc_date
86,83,92,2021-10-13
86,83,92,2021-10-14
86,83,92,2021-10-15
86,83,92,2021-10-16
86,84,92,2021-10-17
86,84,92,2021-10-18
86,84,92,2021-10-19
86,84,93,2021-10-20
86,84,93,2021-10-21
86,84,93,2021-10-22
86,84,93,2021-10-23
86,84,93,2021-10-24
86,84,93,2021-10-25
86,84,93,2021-10-26
86,84,93,2021-10-27
86,84,93,2021-10-28
86,84,93,2021-10-29
87,84,93,2021-10-30
87,84,93,2021-10-31
87,84,93,2021-11-01
87,84,93,2021-11-02
87,84,93,2021-11-03
87,84,93,2021-11-04
87,85,94,2021-11-05
87,85,94,2021-11-06
87,85,94,2021-11-07
87,85,94,2021-11-08
87,85,94,2021-11-09
87,85,94,2021-11-10
87,85,94,2021-11-11
87,85,94,2021-11-12
87,85,94,2021-11-13
87,85,94,2021-11-14
87,85,94,2021-11-15
87,85,94,2021-11-16
87,85,94,2021-11-17
87,85,94,2021-11-18
87,85,94,2021-11-19
87,85,95,2021-11-20
87,85,95,2021-11-21
87,86,95,2021-11-22
87,86,95,2021-11-23
87,86,95,2021-11-24
87,86,95,2021-11-25
87,86,95,2021-11-26
87,86,95,2021-11-27
87,86,95,2021-11-28
87,86,95,2021-11-29
87,86,95,2021-11-30
87,86,95,2021-12-01
87,86,95,2021-12-02
87,86,95,2021-12-03
87,86,95,2021-12-04
87,86,95,2021-12-05
87,86,95,2021-12-06
87,86,95,2021-12-07
87,86,96,2021-12-08
87,86,96,2021-12-09
87,87,96,2021-12-10
87,87,96,2021-12-11
87,87,96,2021-12-12
87,87,96,2021-12-13
87,87,96,2021-12-14
87,87,96,2021-12-15
87,87,96,2021-12-16
88,87,96,2021-12-17
88,87,96,2021-12-18
88,87,96,2021-12-19
88,87,96,2021-12-20
88,87,96,2021-12-21
88,87,96,2021-12-22
88,87,96,2021-12-23
